Date,PM2.5 (μg/m3),O3 (ppm),NO2 (ppm),CO (ppm),SO2 (ppm),Temperature (°C),Precipitation (mm),Wind speed (m/s),Wind direction (°),RH (%),Solar irradiation (MJ/m2),Traffic volume (vehicles),
20250515 ,17,0.03,0.0192,0.44,0.0025,19.5,1.1,2.3,200,80.9,9.9,"50,695 ",
20250516 ,18,0.0111,0.023,0.5,0.0027,19.4,51.3,1.8,50,92.6,3.75,"50,825 ",
20250517 ,6,0.0276,0.0145,0.33,0.0026,18.3,2.2,2.6,230,86.4,17.36,"46,864 ",
20250518 ,11,0.039,0.0088,0.33,0.0024,15.6,0,2.6,270,59.3,27.51,"42,704 ",
20250519 ,14,0.034,0.021,0.46,0.0026,16.1,1.6,2.8,200,70.4,11.93,"48,695 ",
20250520 ,8,0.0234,0.0168,0.39,0.0025,22.2,1,2.5,230,85.5,12.96,"50,460 ",
20250521 ,8,0.0282,0.0127,0.35,0.0026,25.5,0,2.1,270,75.5,22.19,"51,366 ",
20250522 ,11,0.0327,0.0179,0.41,0.0026,23.9,0.8,2.1,50,68,22.94,"41,482 ",
20250523 ,16,0.0284,0.0205,0.44,0.0025,19.4,1.2,2.8,70,53.8,9.19,"51,183 ",
20250524 ,11,0.0335,0.0137,0.35,0.0022,15.6,4.3,3.1,50,69.1,10.54,"45,979 ",
20250525 ,9,0.0398,0.0112,0.32,0.0023,17.4,0,2.1,270,61,30.47,"43,220 ",
20250526 ,20,0.0488,0.022,0.48,0.0032,19.7,0,1.7,270,59.4,26.71,"49,300 ",
20250527 ,32,0.0619,0.0229,0.54,0.0041,20.8,0,1.9,270,57,27.07,"52,116 ",
20250528 ,39,0.0552,0.0228,0.52,0.0038,20.8,0,1.8,270,62,22.39,"51,561 ",
20250529 ,24,0.055,0.0184,0.43,0.0029,21.2,0,2.2,270,58.4,26.56,"52,248 ",
20250530 ,25,0.0461,0.0217,0.46,0.0029,22.2,0,1.7,50,55,25.72,"52,511 ",
20250531 ,26,0.0584,0.0197,0.43,0.0032,21.5,0,2,50,55,21.39,"48,501 ",
20250601 ,36,0.0613,0.0173,0.46,0.0033,22.6,0,2,270,57.8,27.08,"41,595 ",
20250602 ,34,0.0349,0.0288,0.52,0.0031,21,0,1.5,270,64.3,6.3,"49,809 ",
20250603 ,22,0.0491,0.0128,0.37,0.0028,20.9,0,2.9,250,56.9,27.24,"38,853 ",
20250604 ,6,0.0441,0.0143,0.33,0.0026,20.5,0,3.5,250,55.3,29.45,"49,974 ",
20250605 ,10,0.0456,0.0208,0.36,0.003,21.7,0,2.3,270,49.8,28.99,"36,891 ",
20250606 ,12,0.0502,0.0198,0.43,0.0032,24.1,0,3,230,42.6,29.48,"1,954 ",
20250607 ,20,0.0471,0.0145,0.4,0.0028,23.7,0.1,2.6,230,61.4,17.51,"23,959 ",
20250608 ,15,0.0374,0.0108,0.33,0.0024,25.1,0.6,1.7,250,69.3,21.59,"21,394 ",
20250609 ,17,0.0568,0.0158,0.39,0.0024,24.2,0,2.6,270,66.6,25.91,"49,651 ",
20250610 ,10,0.0368,0.0169,0.37,0.0027,21.7,0,2.5,250,71.6,14.46,"50,966 ",
20250611 ,12,0.0465,0.0163,0.39,0.003,22.7,0,2.4,270,54.6,31.05,"52,001 ",
20250612 ,20,0.0589,0.0235,0.48,0.0031,25.5,0,1.9,50,50.4,30.36,"52,455 ",
20250613 ,27,0.0573,0.0296,0.52,0.0037,24,1.5,1.9,270,60.9,15.62,"52,122 ",
20250614 ,15,0.0453,0.0197,0.37,0.0027,25.6,0,2,270,66.3,21.02,"48,381 ",
20250615 ,15,0.0387,0.0136,0.34,0.0027,26.3,11.8,2.5,180,69.6,22.08,"42,512 ",
20250616 ,15,0.0394,0.0157,0.41,0.0024,23,20,2.7,200,87.8,5.19,"48,666 ",
20250617 ,19,0.0691,0.0177,0.41,0.0025,24.8,0,2.5,180,73.3,22.97,"51,755 ",
20250618 ,21,0.0634,0.02,0.45,0.0031,25.5,0,2,270,65.3,26.88,"51,392 ",
20250619 ,17,0.0434,0.026,0.46,0.0032,28.1,0.8,2,50,57.9,23.77,"52,653 ",
20250620 ,4,0.0111,0.0101,0.27,0.0025,24.1,51.1,3.9,200,93.4,2.92,"50,747 ",
20250621 ,9,0.0268,0.014,0.33,0.0025,22,0.2,2.1,250,88.1,7,"7,283 ",
20250622 ,14,0.0505,0.0144,0.39,0.003,23.3,0,2.3,250,68.6,30.56,"44,167 ",
20250623 ,19,0.0536,0.02,0.47,0.0028,26.1,0,1.8,270,64.8,27.7,"50,746 ",
20250624 ,10,0.0262,0.022,0.44,0.0027,25,2.3,2.6,50,63.4,10.18,"52,654 ",
20250625 ,4,0.0251,0.0192,0.41,0.0025,20.9,8,2.5,50,88.9,5.11,"51,281 ",
20250626 ,6,0.0242,0.0162,0.38,0.0025,22.2,1.1,1.7,270,85.3,7.23,"51,338 ",
20250627 ,13,0.0277,0.024,0.5,0.0028,25,0,1.4,50,78.1,12.92,"52,810 ",
20250628 ,17,0.0183,0.0188,0.44,0.0028,26.2,0.6,1.4,270,85,7.13,"45,335 ",
20250629 ,8,0.0221,0.0105,0.31,0.0026,27.1,0,2.3,230,77.1,12.41,"43,578 ",
20250630 ,5,0.0136,0.0131,0.3,0.0025,28.2,0,2.4,180,74.6,15.61,"49,154 ",
20250701 ,4,0.0108,0.0117,0.27,0.0027,28.6,0.9,3,200,78.6,17.38,"40,830 ",
20250702 ,5,0.0122,0.0122,0.27,0.0028,28.6,0,2.9,200,76.3,14.4,"51,643 ",
20250703 ,15,0.0151,0.0139,0.31,0.0027,28.3,0,2.8,230,75.5,13.6,"51,929 ",
20250704 ,14,0.0244,0.0155,0.36,0.0027,27.2,0,3.2,230,77,7.72,"53,457 ",
20250705 ,11,0.03,0.0131,0.28,0.0026,28.4,0,2.8,200,72.9,14.77,"3,417 ",
20250706 ,16,0.0422,0.0111,0.29,0.0025,29.1,0,2.5,200,74.3,14.7,0 ,
20250707 ,32,0.0505,0.0192,0.5,0.0027,29.1,0,1.9,270,79,11.21,"39,095 ",
20250708 ,28,0.0361,0.0185,0.45,0.0027,31.3,11.8,1.9,50,72.5,22.64,"52,689 ",
20250709 ,15,0.0281,0.0181,0.42,0.0027,31.9,0,2.2,50,61.1,23.55,"52,347 ",
20250710 ,9,0.0325,0.0173,0.36,0.0025,31.4,0,2.9,50,46.6,29.95,"52,840 ",
20250711 ,7,0.036,0.0169,0.32,0.0023,30.2,0,3.3,70,47.1,30.35,"52,803 ",
20250712 ,7,0.0382,0.0176,0.31,0.0024,30.3,0,2.3,70,47.5,30.02,"47,243 ",
20250713 ,18,0.041,0.0188,0.4,0.0028,27.7,0,1.5,270,66.8,10.39,"41,737 ",
20250714 ,11,0.0336,0.0139,0.34,0.0028,24.2,13.6,2,290,78.3,7.19,"49,587 ",
20250715 ,4,0.0295,0.0113,0.31,0.0024,23.6,4,2.3,290,84.1,10.03,"51,504 ",
20250716 ,10,0.0292,0.0235,0.46,0.0027,23.3,73.1,2.1,110,90.1,2.34,"51,165 ",
20250717 ,5,0.0332,0.0226,0.43,0.0027,23.3,75.5,2.1,70,94.3,4.77,"49,769 ",
20250718 ,5,0.0273,0.0231,0.43,0.0028,24.7,16.1,1.7,50,89.5,7.44,"51,014 ",
20250719 ,4,0.0216,0.0194,0.36,0.0026,23.9,84,2,50,95.4,3.79,"46,114 ",
20250720 ,5,0.0126,0.0087,0.26,0.0025,27.7,14.8,2.8,180,82.8,16.69,"42,704 ",
20250721 ,6,0.0095,0.0129,0.32,0.0028,28.5,0,2.3,230,77.4,18.81,"50,861 ",
20250722 ,5,0.0155,0.0114,0.25,0.0027,28.8,0.1,2.7,270,75.6,20.43,"40,856 ",
20250723 ,5,0.0164,0.0117,0.25,0.0025,28.9,0,1.8,320,70.4,22.14,"52,702 ",
20250724 ,8,0.0299,0.0142,0.29,0.0025,29.8,0,1.9,270,68,24.91,"53,186 ",
20250725 ,23,0.0432,0.0199,0.38,0.0025,31.1,0,1.9,290,64.6,26.48,"53,533 ",
20250726 ,14,0.0317,0.0209,0.35,0.0026,32.3,0,1.7,50,61.9,24.32,"48,177 ",
20250727 ,11,0.0359,0.0128,0.27,0.0024,32.8,0,2,50,62.4,28.42,"42,305 ",
20250728 ,24,0.043,0.0152,0.37,0.0024,32.2,0,2,270,67.3,27,"51,374 ",
20250729 ,23,0.0543,0.0182,0.38,0.0025,32,0,2,270,64,20.41,"52,210 ",
20250730 ,18,0.0383,0.0237,0.4,0.0027,32.1,0,1.7,50,62.9,19.51,"52,922 ",
20250731 ,18,0.0405,0.0211,0.37,0.0027,30.9,0,2,50,62.3,13.17,"52,656 ",
20250801 ,25,0.0464,0.0189,0.38,0.0026,31,0,1.9,50,66.9,16.09,"52,399 ",
20250802 ,21,0.0423,0.0136,0.31,0.0025,31.2,0,1.8,270,62.1,20.88,"47,111 ",
20250803 ,21,0.0304,0.0166,0.37,0.0026,28.8,1.3,2,50,69,8.08,"40,062 ",
20250804 ,11,0.0318,0.0138,0.32,0.0023,28.1,1.9,2.2,50,75.5,16.35,"42,298 ",
20250805 ,10,0.0308,0.0167,0.33,0.0027,29.1,0,2.2,230,67.4,23.11,"50,798 ",
20250806 ,7,0.0218,0.0143,0.32,0.0022,27.1,22,3.2,200,89,5.57,"28,802 ",
20250807 ,8,0.0361,0.0108,0.35,0.0023,28.2,0,2.7,270,70.8,27.18,"52,339 ",
20250808 ,13,0.0339,0.0186,0.41,0.0024,26.6,6.3,1.6,270,74.8,8.76,"52,270 ",
20250809 ,13,0.0182,0.0165,0.41,0.0024,24.9,3.5,1.4,50,82.1,5.37,"47,623 ",
20250810 ,10,0.033,0.0122,0.34,0.0024,27.3,0,1.7,250,70,27.22,"42,404 ",
20250811 ,15,0.0273,0.0221,0.48,0.0025,27,0,2,50,73.9,9.84,"48,303 ",
20250812 ,10,0.0358,0.0185,0.41,0.0026,28.6,0,2.2,140,62.9,26.6,"50,345 ",
20250813 ,4,0.0186,0.0162,0.35,0.0023,25.1,126.7,2.6,50,91.8,1.92,"46,151 ",
20250814 ,5,0.0169,0.0162,0.33,0.0023,25.5,47.8,2.2,230,91.1,6.29,"48,903 ",
20250815 ,7,0.0199,0.0157,0.33,0.0025,27.1,0,1.7,250,84.3,14.89,"28,695 ",
20250816 ,3,0.0151,0.0104,0.25,0.0023,28.2,0,2.2,250,76,19.22,"45,074 ",
20250817 ,8,0.0181,0.0088,0.23,0.0023,28.4,0,2.3,200,76.3,16.43,"40,742 ",
20250818 ,15,0.017,0.0133,0.3,0.0026,28.9,2.2,3,230,75.6,19.92,"50,757 ",
20250819 ,4,0.0144,0.0118,0.27,0.0024,29.1,0,3,200,75.3,19.48,"52,813 ",
20250820 ,6,0.0177,0.0131,0.27,0.0025,29.4,0,2.6,180,74.5,18.14,"52,964 ",
20250821 ,6,0.0225,0.0141,0.27,0.0024,29.8,0,2.2,200,70.6,21.66,"21,351 ",
20250822 ,5,0.0199,0.0134,0.25,0.0023,29.4,0,2.1,270,71.5,22.41,"53,747 ",
20250823 ,9,0.025,0.0136,0.26,0.0022,29.3,0,1.9,270,74.9,11.71,"49,691 ",
20250824 ,12,0.0311,0.0125,0.29,0.0025,30.2,0,1.7,230,69.4,18.39,"43,337 ",
20250825 ,10,0.0268,0.0162,0.34,0.0023,28.7,17.1,2.8,230,80.6,10.8,"50,884 ",
20250826 ,7,0.0345,0.0161,0.37,0.0022,27.6,5.4,2.8,270,81.8,15,"52,220 ",
20250827 ,5,0.0349,0.018,0.41,0.0023,26.7,0,1.6,270,73.8,9.76,"52,903 ",
20250828 ,9,0.0328,0.0186,0.4,0.0024,28.3,0,2.7,200,72.9,14.35,"53,992 ",
20250829 ,6,0.0225,0.0135,0.28,0.0023,29,32.2,3.5,200,82,17.8,"53,358 ",
20250830 ,4,0.0212,0.0155,0.29,0.0022,28.4,23.9,2,270,81.1,16.69,"48,682 ",
20250831 ,13,0.0166,0.0111,0.28,0.0027,28.5,0,2.4,200,75.3,15.74,"43,598 ",
20250901 ,4,0.0205,0.0133,0.32,0.0023,26.1,20.4,2.5,180,87.3,7.47,"49,479 ",
20250902 ,6,0.0337,0.0119,0.33,0.0023,26,0,1.6,290,74.6,20.32,"51,803 ",
20250903 ,10,0.0285,0.0227,0.43,0.0024,27.6,0,1.9,50,67.5,21.38,"51,685 ",
20250904 ,5,0.0236,0.0183,0.37,0.0022,25.8,44.2,2.6,50,82.1,13.76,"53,192 ",
20250905 ,8,0.0327,0.0214,0.4,0.0024,27.9,0,2.2,50,68.5,20.45,"37,896 ",
20250906 ,9,0.0252,0.0164,0.37,0.0024,26.8,36.1,2.4,200,86.6,8.94,"46,218 ",
20250907 ,6,0.0351,0.0086,0.33,0.0021,25.3,0.2,2.1,270,77.5,12.58,"44,182 ",
20250908 ,9,0.0297,0.0167,0.45,0.0025,24.4,0,1.8,50,73,16.17,"51,412 ",
20250909 ,13,0.0276,0.0173,0.44,0.0025,23.7,0,1.6,50,71.9,9.73,"52,126 ",
20250910 ,9,0.0212,0.0194,0.41,0.0026,24.8,0,1.7,50,61.1,24.56,"51,900 ",
20250911 ,7,0.0198,0.0217,0.42,0.0026,25.8,0,2.5,50,57.6,24.11,"48,610 ",
20250912 ,5,0.0253,0.0206,0.4,0.0024,23.9,6.8,2.7,70,68.8,7.7,"52,560 ",
20250913 ,3,0.0304,0.0129,0.29,0.0021,23.3,63.7,2.4,50,81,,"48,435 ",
20250914 ,5,0.0328,0.0128,0.3,0.0022,24.8,0,1.6,270,72,16.74,"45,317 ",
20250915 ,9,0.0326,0.021,0.42,0.0023,25.7,0,1.5,20,71.6,18.66,"51,722 ",
20250916 ,10,0.0147,0.0272,0.5,0.0027,23.7,17.5,1.5,50,86.8,5.11,"51,594 ",
20250917 ,4,0.017,0.017,0.4,0.0025,22.7,52.7,1.7,20,92,3.54,"51,270 ",
20250918 ,3,0.0153,0.0147,0.36,0.0023,22.1,0,2.6,50,74.4,17.27,"54,284 ",
20250919 ,4,0.0144,0.0194,0.41,0.0022,19.4,13.8,2.8,50,82,4.73,"52,285 ",
20250920 ,3,0.0231,0.0112,0.29,0.0021,20,35.3,1.8,50,85.4,8.41,"2,329 ",
20250921 ,3,0.0255,0.0103,0.27,0.002,21.6,0,2.1,50,67,22.01,"6,607 ",
20250922 ,4,0.0216,0.0181,0.35,0.0022,21.3,0,2.5,50,59.8,14.98,"51,147 ",
20250923 ,5,0.0196,0.0205,0.37,0.0022,22.7,0,2.4,70,56.5,16.89,"52,503 ",
20250924 ,5,0.0191,0.0232,0.41,0.0023,22,35.2,2.1,50,81.8,2.84,"50,823 ",
20250925 ,7,0.0288,0.0166,0.37,0.0022,22.5,0.3,1.4,250,80,13.81,"53,022 ",
20250926 ,15,0.0281,0.0182,0.49,0.0022,21.7,0,1.4,50,78.1,18.53,"52,005 ",
20250927 ,12,0.0221,0.0232,0.48,0.0023,22.5,0,1.9,50,71.1,16.5,"42,408 ",
20250928 ,7,0.033,0.0114,0.38,0.002,20,44.5,1.7,290,85.6,5.86,"31,881 ",
20250929 ,13,0.0311,0.0162,0.43,0.0021,19.6,0,1.5,270,77.8,11.97,"51,708 ",
20250930 ,16,0.0206,0.0243,0.53,0.0024,19.8,0,1.4,290,81.3,8.56,"52,819 ",
